name,category
Chơi thể thao,Thể thao
Âm nhạc,Giải trí
Xem phim,Giải trí
Chơi game,Giải trí
Đọc sách,Học tập
Chụp ảnh và quay video,Nghệ thuật
Mạng xã hội,Giải trí
Sáng tạo nghệ thuật,Nghệ thuật
Du lịch,Khám phá
Tình nguyện và tham gia hoạt động xã hội,Xã hội
Vẽ tranh,Nghệ thuật
"Thử thách bản thân (chạy bộ, leo núi, tham gia các cuộc thi)",Thể thao
Chế tạo mô hình,Sáng tạo
Lập trình và công nghệ,Kỹ thuật
Kể chuyện và viết lách,Nghệ thuật
Thiết kế thời trang,Nghệ thuật
Học nấu ăn,Kỹ năng sống
Học ngoại ngữ,Học tập
Thực hành yoga hoặc thiền,Sức khỏe
Khám phá khoa học và công nghệ,Khoa học
"Sưu tầm (tem, đồng xu, sách, đồ vật cổ)",Sở thích cá nhân
Tự học các kỹ năng mới (nâng cao bản thân),Phát triển cá nhân
Cắm trại,Khám phá
Nuôi thú cưng,Sở thích cá nhân
"Xây dựng mô hình (hệ thống, công trình)",Sáng tạo
"Giải đố, trò chơi trí tuệ",Giải trí
Tham gia các câu lạc bộ học thuật,Học tập
"Chơi cờ (cờ vua, cờ tướng)",Giải trí
Làm vườn,Sở thích cá nhân
Học trang trí nội thất,Sáng tạo
Làm đồ handmade,Nghệ thuật
Tham gia nhóm sách,Học tập
Cải thiện kỹ năng viết,Phát triển cá nhân
Học múa,Nghệ thuật
Làm các thí nghiệm khoa học,Khoa học
Làm video hướng dẫn,Giải trí
Chơi nhạc cụ dân tộc,Âm nhạc
Đi bộ đường dài,Thể thao
Phát triển game,Kỹ thuật
Làm đồ ăn vặt,Kỹ năng sống
Chăm sóc sức khỏe tâm lý,Sức khỏe
Chơi bóng đá,Thể thao
Tham gia các buổi hội thảo chuyên đề,Học tập
Tham gia các hoạt động học hỏi về đầu tư,Phát triển cá nhân
Sáng tác thơ,Nghệ thuật
Tham gia các buổi thi đấu thể thao,Thể thao
Xem thể thao trực tiếp,Giải trí
Học làm phim,Nghệ thuật
Chơi cờ caro,Giải trí
Tìm hiểu về các nền văn hóa,Khám phá
Tham gia hoạt động từ thiện,Xã hội
Chế tạo robot,Kỹ thuật
Học thêu và may vá,Nghệ thuật
Thực hành làm đồ trang sức,Nghệ thuật
Học chế biến món ăn truyền thống,Kỹ năng sống
Thực hiện các bài tập thể lực,Sức khỏe
Tìm hiểu về lịch sử,Khám phá
Khám phá ẩm thực,Giải trí
Tổ chức sự kiện,Xã hội
Chơi golf,Thể thao
Viết nhật ký,Phát triển cá nhân
Tham gia vào các cuộc thi học thuật,Học tập
Học cách lập kế hoạch tài chính,Phát triển cá nhân
"Chơi thể thao dưới nước (bơi, lướt sóng, chèo thuyền)",Thể thao
"Sáng tạo âm nhạc (soạn nhạc, remix)",Âm nhạc
Thực hiện các dự án DIY (Do it yourself),Sáng tạo
Tập luyện thể hình,Sức khỏe
Tìm hiểu về thiên văn học,Khoa học
Chơi bóng chuyền,Thể thao
"Tham gia các cuộc thi sáng tạo (hackathon, các cuộc thi công nghệ)",Kỹ thuật
Khám phá nghệ thuật đương đại,Nghệ thuật
Thực hiện các chuyến đi phượt,Khám phá
Học cách chơi cờ vua chuyên nghiệp,Giải trí
Sáng tạo và vẽ hoạt hình,Nghệ thuật
Tham gia các lớp học phát triển bản thân,Phát triển cá nhân
Tìm hiểu về tâm lý học,Khoa học
Làm việc với các phần mềm thiết kế đồ họa,Kỹ thuật
Tạo blog cá nhân,Giải trí
Viết kịch bản phim,Nghệ thuật
Sáng tác nhạc điện tử,Âm nhạc
Tìm hiểu và làm đồ gỗ thủ công,Sáng tạo
Tham gia các lớp học nấu ăn chuyên nghiệp,Kỹ năng sống
Tập vẽ tranh sơn dầu,Nghệ thuật
Đọc sách về đầu tư và tài chính cá nhân,Phát triển cá nhân
"Tập thể dục ngoài trời (chạy, đi bộ, đạp xe)",Sức khỏe
Chơi bóng rổ,Thể thao
Học kỹ năng giao tiếp và thuyết trình,Phát triển cá nhân
Làm việc tình nguyện tại các tổ chức từ thiện,Xã hội
Khám phá nghệ thuật nhiếp ảnh đường phố,Nghệ thuật
Tìm hiểu về văn hóa các quốc gia khác,Khám phá
Học cách làm vườn hữu cơ,Kỹ năng sống
"Chơi môn thể thao mạo hiểm (leo núi, lướt ván, dù lượn)",Thể thao
Chơi tennis,Thể thao
Học cách làm phim hoạt hình,Nghệ thuật
Thiết kế website,Kỹ thuật
Học làm bánh,Kỹ năng sống
Sưu tầm sách hiếm,Sở thích cá nhân
Viết tiểu thuyết,Nghệ thuật
Tham gia câu lạc bộ văn học,Học tập
Chơi cầu lông,Thể thao
Tìm hiểu về nông nghiệp bền vững,Khoa học
Học chơi đàn piano,Âm nhạc
Chăm sóc cây cảnh,Sở thích cá nhân
Làm đồ thủ công từ đất sét,Nghệ thuật
Tập luyện Pilates,Sức khỏe
Thực hiện các dự án kỹ thuật DIY,Sáng tạo
Tìm hiểu về các hệ sinh thái khác nhau,Khoa học
Chơi bóng bầu dục,Thể thao
Lập kế hoạch du lịch cho nhóm bạn,Khám phá
Xây dựng và quản lý nhóm online,Xã hội
Học thổi sáo,Âm nhạc
Chơi bi-a,Giải trí
Tham gia các câu lạc bộ khoa học,Học tập
Học cách lập trình game,Kỹ thuật
Đọc sách về lịch sử thế giới,Giải trí
Tập yoga,Sức khỏe
Thực hiện các thí nghiệm khoa học tại nhà,Khoa học
Làm đồ thủ công từ vải,Nghệ thuật
Khám phá các nền văn hóa dân gian,Khám phá
Học về nghệ thuật trang trí nội thất,Sáng tạo
Tham gia các lớp học về kỹ năng lãnh đạo,Phát triển cá nhân
Chơi cờ tướng,Giải trí
Làm phim ngắn,Nghệ thuật
Học cách tạo hiệu ứng đặc biệt cho video,Kỹ thuật
Làm thí nghiệm hóa học tại nhà,Khoa học
Học vẽ chân dung,Nghệ thuật
Chơi môn thể thao điện tử,Giải trí
Học về quản lý thời gian,Phát triển cá nhân
Làm việc với các công cụ chỉnh sửa ảnh,Nghệ thuật
Tổ chức các sự kiện cộng đồng,Xã hội
Làm đồ handmade cho thú cưng,Sáng tạo
Học về lập trình web,Kỹ thuật
Chơi bóng chày,Thể thao
Sưu tầm mô hình xe hơi,Sở thích cá nhân
Tham gia các lớp học ngoại ngữ,Phát triển cá nhân
Chơi trống,Âm nhạc
Thực hiện các dự án nghệ thuật công cộng,Nghệ thuật
Khám phá các vùng đất mới qua du lịch mạo hiểm,Khám phá
Làm đồ thủ công từ giấy,Nghệ thuật
Lập kế hoạch sự kiện,Xã hội
Chơi game mô phỏng,Giải trí
Sưu tầm tem,Sở thích cá nhân
Chơi saxophone,Âm nhạc
Tạo hình ảnh 3D với phần mềm đồ họa,Kỹ thuật
Khám phá các nền tảng học trực tuyến,Học tập
Tạo video YouTube,Giải trí
Học nghệ thuật làm đồ ăn sáng tạo,Kỹ năng sống
Sáng tác nhạc cổ điển,Âm nhạc
Thiết kế và làm đồ nội thất,Sáng tạo
Chơi game chiến thuật,Giải trí
Làm đồ thủ công từ kim loại,Nghệ thuật
Thực hiện các thử thách thể lực,Sức khỏe
Học lập trình di động,Kỹ thuật
Tham gia các hoạt động bảo vệ môi trường,Xã hội
Viết và thiết kế sách tranh cho trẻ em,Nghệ thuật
Sáng tạo với nghệ thuật sắp đặt,Nghệ thuật
Học về văn hóa và nghệ thuật của các quốc gia châu Á,Khám phá
Chơi hockey,Thể thao
Học làm phim tài liệu,Nghệ thuật
Thực hành các thí nghiệm vật lý,Khoa học
Tham gia các lớp học nhiếp ảnh,Nghệ thuật
Sáng tác nhạc jazz,Âm nhạc
Tìm hiểu về thiết kế đồ họa truyền thông,Kỹ thuật
Khám phá ẩm thực quốc tế,Khám phá
Lập nhóm nghiên cứu khoa học,Khoa học
Viết blog về du lịch,Giải trí
Học cách làm phim hoạt hình 3D,Nghệ thuật
Chơi badminton,Thể thao
Tham gia các cuộc thi sáng tạo online,Giải trí
Khám phá và sưu tầm các loại đá quý,Sở thích cá nhân
Học lập trình AI,Kỹ thuật
Làm đồ thủ công từ vỏ sò,Nghệ thuật
Tham gia các câu lạc bộ mô hình xe điều khiển,Giải trí
Viết tiểu thuyết khoa học viễn tưởng,Nghệ thuật
Lập kế hoạch các chuyến đi phượt,Khám phá
Tập luyện bơi lội,Sức khỏe
Chơi thể thao điện tử (eSports),Giải trí
Học làm vườn hữu cơ,Kỹ năng sống
Học làm bánh mì thủ công,Kỹ năng sống
Tham gia các lớp học khiêu vũ,Nghệ thuật
Làm đồ thủ công từ gỗ,Nghệ thuật
Khám phá các hệ sinh thái dưới nước,Khám phá
Học vẽ hoạt hình 2D,Nghệ thuật
Viết nhật ký điện tử,Giải trí
Sưu tầm đồng xu cổ,Sở thích cá nhân
Học làm phim hành động ngắn,Nghệ thuật
Tham gia các câu lạc bộ thể dục thể hình,Sức khỏe
